Timestamp,Editor ou IDE que você usa para programar em Python a maior parte do tempo,Sistema operacional do computador que você usa ao programar aplicações Python,Outros editores ou IDE que você usou por 12 horas ou mais em 2012 (opcional)
12/27/2012 23:19:04,vim,GNU/Linux,"Eclipse + PyDev, Gedit, WingIDE"
12/27/2012 23:20:11,PyCharm,Windows,NotePad++ (software livre para Windows)
12/27/2012 23:25:32,Sublime Text,GNU/Linux,"NotePad++ (software livre para Windows), Sublime Text"
12/27/2012 23:25:42,Komodo Edit (gratuito),*BSD,"Geany, Gedit, vim"
12/27/2012 23:49:51,Sublime Text,Windows,"Gedit, Kdevelop, Netbeans, NotePad++ (software livre para Windows), vim"
12/27/2012 23:49:56,Eclipse + PyDev,GNU/Linux,Aptana
12/28/2012 0:11:57,Sublime Text,GNU/Linux,"PyCharm, vim"
12/28/2012 0:28:36,Eclipse + PyDev,GNU/Linux,Geany
12/28/2012 0:32:16,PyCharm,Mac OSX,
12/28/2012 0:38:07,PyCharm,misto linux/windows,"Aptana, NotePad (acessório incluído no Windows), NotePad++ (software livre para Windows), NotePad2 (software livre para Windows), PyCharm, Sublime Text, vim, Visual Studio"
12/28/2012 0:41:47,vim,Mac OSX,
12/28/2012 1:12:22,Gedit,GNU/Linux,"Aptana, NotePad++ (software livre para Windows), TextMate, Visual Studio"
12/28/2012 1:23:50,Netbeans,GNU/Linux,Kate e derivados
12/28/2012 2:39:19,vim,GNU/Linux,Gedit
12/28/2012 3:00:02,Sublime Text,GNU/Linux,"Gedit, IDLE"
12/28/2012 3:02:39,vim,Mac OSX,Sublime Text
12/28/2012 3:06:59,Geany,GNU/Linux,"Gedit, Sublime Text, vim, WingIDE"
12/28/2012 3:10:48,Geany,GNU/Linux,"Gedit, vim"
12/28/2012 3:44:50,Sublime Text,GNU/Linux,"Eclipse + PyDev, Gedit, IDLE, NotePad (acessório incluído no Windows), NotePad++ (software livre para Windows), Sublime Text"
12/28/2012 8:04:54,Sublime Text,GNU/Linux,vim
12/28/2012 8:10:15,Sublime Text,GNU/Linux,vim
12/28/2012 8:12:22,PyCharm,Windows,PyCharm
12/28/2012 8:19:01,Sublime Text,GNU/Linux,PyCharm
12/28/2012 8:22:01,Aptana,GNU/Linux,
12/28/2012 8:28:22,PyCharm,Mac OSX,TextMate
12/28/2012 8:30:00,Sublime Text,GNU/Linux,"Aptana, Gedit, vim"
12/28/2012 8:35:39,vim,GNU/Linux,Eclipse + PyDev
12/28/2012 8:40:47,Eclipse + PyDev,GNU/Linux,Emacs e derivados
12/28/2012 8:51:44,Eclipse + PyDev,GNU/Linux,Gedit
12/28/2012 8:52:13,Spyder,GNU/Linux,Sublime Text
12/28/2012 8:52:54,Sublime Text,GNU/Linux,"Sublime Text, vim"
12/28/2012 8:59:10,Sublime Text,Mac OSX,"TextMate, vim"
12/28/2012 9:02:48,Sublime Text,Windows,
12/28/2012 9:10:23,Sublime Text,Windows,TextPad
12/28/2012 9:15:36,PyCharm,GNU/Linux,"Eclipse + PyDev, IDLE"
12/28/2012 9:16:56,Sublime Text,GNU/Linux,"Aptana, Geany, Gedit, Komodo Edit (gratuito), PyCharm, vim"
12/28/2012 9:22:14,Aptana,GNU/Linux,"Geany, IDLE"
12/28/2012 9:29:30,Geany,GNU/Linux,vim
12/28/2012 9:35:16,PyCharm,GNU/Linux,IDLE
12/28/2012 9:42:25,SciTE,*BSD,"Geany, vim"
12/28/2012 9:54:09,Sublime Text,Windows,NotePad++ (software livre para Windows)
12/28/2012 9:55:53,Eclipse + PyDev,GNU/Linux,"Aptana, vim"
12/28/2012 9:56:56,Sublime Text,Windows,IDLE
12/28/2012 9:59:05,Sublime Text,Mac OSX,"Aptana, Eclipse + PyDev, TextMate, vim"
12/28/2012 10:03:24,PyCharm,GNU/Linux,"Gedit, vim"
12/28/2012 10:23:35,PyCharm,Windows,NotePad++ (software livre para Windows)
12/28/2012 10:23:59,Sublime Text,GNU/Linux,"Sublime Text, vim"
12/28/2012 10:28:39,PyCharm,GNU/Linux,"Gedit, Sublime Text, vim"
12/28/2012 10:34:08,vim,GNU/Linux,Sublime Text
12/28/2012 10:36:48,PyCharm,GNU/Linux,Aptana
12/28/2012 10:39:31,Sublime Text,GNU/Linux,"Eclipse + PyDev, IDLE"
12/28/2012 11:01:25,Eclipse + PyDev,GNU/Linux,"Aptana, Eclipse + PyDev, Gedit"
12/28/2012 11:05:56,Komodo Edit (gratuito),*BSD,"Geany, Komodo Edit (gratuito), vim"
12/28/2012 11:06:28,PyCharm,GNU/Linux,Eclipse + PyDev
12/28/2012 11:09:13,Sublime Text,Mac OSX,"Gedit, Sublime Text, vim"
12/28/2012 11:10:14,vim,GNU/Linux,"Aptana, Eclipse + PyDev, Sublime Text"
12/28/2012 11:20:28,Eclipse + PyDev,GNU/Linux,Geany
12/28/2012 11:29:14,vim,GNU/Linux,"Netbeans, Sublime Text"
12/28/2012 11:42:27,Sublime Text,GNU/Linux,"Geany, Gedit, vim"
12/28/2012 12:04:01,Eclipse + PyDev,GNU/Linux,"Geany, Gedit"
12/28/2012 12:07:19,Aptana,GNU/Linux,"Eclipse + PyDev, Geany, Gedit"
12/28/2012 12:10:13,Komodo Edit (gratuito),Windows,"NotePad (acessório incluído no Windows), NotePad++ (software livre para Windows)"
12/28/2012 12:14:49,Sublime Text,GNU/Linux,vim
12/28/2012 12:35:44,Sublime Text,GNU/Linux,"vim, WingIDE"
12/28/2012 12:54:01,Sublime Text,Windows,PyCharm
12/28/2012 13:06:48,Eclipse + PyDev,GNU/Linux,Gedit
12/28/2012 13:08:17,IDLE,Windows,"Gedit, IDLE, NotePad (acessório incluído no Windows), NotePad++ (software livre para Windows)"
12/28/2012 13:21:43,vim,Mac OSX,
12/28/2012 13:29:36,Sublime Text,GNU/Linux,"Eclipse + PyDev, Spyder"
12/28/2012 14:18:55,IDLE,GNU/Linux,Eclipse + PyDev
12/28/2012 14:36:38,vim,GNU/Linux,"PyCharm, vim"
12/28/2012 14:41:02,Sublime Text,Mac OSX,"Eclipse + PyDev, Sublime Text, vim"
12/28/2012 14:44:02,Eclipse + PyDev,GNU/Linux,"Eclipse + PyDev, Geany, Gedit, IDLE, Komodo Edit (gratuito), NotePad++ (software livre para Windows)"
12/28/2012 15:45:11,PyCharm,Mac OSX,"TextMate, vim"
12/28/2012 16:02:35,PyCharm,Windows,"NotePad++ (software livre para Windows), PyCharm, Visual Studio"
12/28/2012 16:11:23,Eclipse + PyDev,GNU/Linux,"Gedit, Spyder, vim"
12/28/2012 16:18:00,Eclipse + PyDev,GNU/Linux,Eclipse + PyDev
12/28/2012 16:40:24,vim,GNU/Linux,Eclipse + PyDev
12/28/2012 16:46:22,Kate e derivados,GNU/Linux,"Aptana, Eclipse + PyDev, Kate e derivados, Sublime Text"
12/28/2012 17:02:13,vim,GNU/Linux,Gedit
12/28/2012 17:33:33,Eclipse + PyDev,GNU/Linux,"Gedit, NotePad++ (software livre para Windows), vim"
12/28/2012 18:23:43,Sublime Text,Windows,"PyCharm, Visual Studio"
12/28/2012 18:45:51,PyCharm,GNU/Linux,"Geany, Kate e derivados, Netbeans, PyCharm, Sublime Text"
12/28/2012 18:56:19,PyCharm,GNU/Linux,Eclipse + PyDev
12/28/2012 19:37:48,Netbeans,GNU/Linux,"Eclipse + PyDev, Geany"
12/28/2012 19:46:12,PyCharm,Mac OSX,"Sublime Text, vim"
12/28/2012 19:57:14,Sublime Text,GNU/Linux,Eclipse + PyDev
12/28/2012 20:24:14,Sublime Text,GNU/Linux,"Aptana, Gedit, Spyder"
12/28/2012 22:47:09,vim,GNU/Linux,Sublime Text
12/28/2012 22:50:28,Komodo Edit (gratuito),GNU/Linux,"Eclipse + PyDev, Netbeans"
12/28/2012 22:58:02,Sublime Text,GNU/Linux,"Geany, Gedit, NotePad++ (software livre para Windows), vim"
12/28/2012 23:41:12,Sublime Text,GNU/Linux,Gedit
12/29/2012 0:06:26,Sublime Text,Mac OSX,vim
12/29/2012 8:48:30,vim,GNU/Linux,"Netbeans, vim"
12/29/2012 9:28:20,Geany,GNU/Linux,"Aptana, Eclipse + PyDev, Gedit, vim"
12/29/2012 10:22:43,Emacs e derivados,GNU/Linux,
12/29/2012 11:05:02,vim,GNU/Linux,Gedit
12/29/2012 11:20:23,Sublime Text,Mac OSX,vim
12/29/2012 11:29:10,Sublime Text,GNU/Linux,"Kate e derivados, vim"
12/29/2012 12:45:38,Sublime Text,Mac OSX,NotePad++ (software livre para Windows)
12/29/2012 13:08:18,vim,Mac OSX,
12/29/2012 13:37:47,Sublime Text,GNU/Linux,vim
12/29/2012 14:22:17,Geany,GNU/Linux,vim
12/29/2012 18:02:41,Sublime Text,GNU/Linux,"Aptana, Eclipse + PyDev, Geany, NotePad++ (software livre para Windows), Spyder, vim"
12/29/2012 18:51:54,Sublime Text,Mac OSX,"TextMate, vim"
12/29/2012 21:48:34,vim,Mac OSX,
12/29/2012 21:49:31,vim,Mac OSX,
12/30/2012 11:33:42,Kate e derivados,GNU/Linux,"Gedit, IDLE, NotePad++ (software livre para Windows), Sublime Text, vim"
12/30/2012 20:00:16,vim,GNU/Linux,vim
12/30/2012 23:52:31,Sublime Text,GNU/Linux,"Eclipse + PyDev, Netbeans"
12/31/2012 0:58:30,Sublime Text,Windows,PyCharm
12/31/2012 8:13:15,Spyder,GNU/Linux,vim
12/31/2012 9:18:24,Eclipse + PyDev,GNU/Linux,"Aptana, Gedit"
12/31/2012 11:35:18,PsPad,Windows,"IDLE, Spyder"
12/31/2012 11:38:19,Eclipse + PyDev,GNU/Linux,"Aptana, Gedit, vim"
12/31/2012 17:35:15,Eclipse + PyDev,GNU/Linux,Sublime Text
12/31/2012 21:29:10,Sublime Text,Mac OSX,"Sublime Text, TextMate"
1/1/2013 13:43:59,Eclipse + PyDev,Windows,NotePad++ (software livre para Windows)
1/1/2013 21:07:25,vim,Mac OSX,Sublime Text
1/1/2013 21:09:09,Eclipse + PyDev,GNU/Linux,Eclipse + PyDev
1/1/2013 21:11:32,vim,GNU/Linux,"Gedit, Netbeans, PyCharm"
1/1/2013 21:12:34,Komodo Edit (gratuito),GNU/Linux,Eclipse + PyDev
1/1/2013 21:14:40,Eclipse + PyDev,Mac OSX,"Sublime Text, TextMate"
1/1/2013 21:15:16,vim,GNU/Linux,Gedit
1/1/2013 21:16:39,Sublime Text,Windows,"Gedit, NotePad++ (software livre para Windows), Sublime Text"
1/1/2013 21:20:53,Sublime Text,Mac OSX,
1/1/2013 21:21:35,PyCharm,GNU/Linux,"Komodo Edit (gratuito), Sublime Text"
1/1/2013 21:26:06,Gedit,GNU/Linux,"Aptana, Eclipse + PyDev, Emacs e derivados, Geany, Gedit, Netbeans, vim"
1/1/2013 21:35:38,vim,Mac OSX,
1/1/2013 21:57:29,Kate e derivados,GNU/Linux,"Aptana, NotePad++ (software livre para Windows), Sublime Text, vim"
1/1/2013 22:02:00,Spyder,Windows,"Eclipse + PyDev, Geany, Gedit, Netbeans"
1/1/2013 22:14:27,Sublime Text,Windows,"NotePad++ (software livre para Windows), Sublime Text"
1/1/2013 22:15:00,vim,GNU/Linux,Sublime Text
1/1/2013 22:16:33,IDLE,Windows,"NotePad (acessório incluído no Windows), NotePad++ (software livre para Windows)"
1/1/2013 22:16:59,NotePad++ (software livre para Windows),Windows,
1/1/2013 22:21:21,Sublime Text,Mac OSX,Aptana
1/1/2013 22:26:03,Sublime Text,Windows,IDLE
1/1/2013 22:28:51,Sublime Text,GNU/Linux,"Aptana, Eclipse + PyDev, Gedit, NotePad++ (software livre para Windows), Sublime Text"
1/1/2013 22:32:39,Sublime Text,GNU/Linux,vim
1/1/2013 22:46:15,Emacs e derivados,Mac OSX,TextMate
1/1/2013 22:57:34,Emacs e derivados,*BSD,
1/1/2013 23:06:18,Sublime Text,Mac OSX,"Eclipse + PyDev, TextMate, vim"
1/1/2013 23:06:53,Sublime Text,GNU/Linux,"Aptana, vim"
1/1/2013 23:09:10,vim,GNU/Linux,"Gedit, vim"
1/1/2013 23:38:56,vim,GNU/Linux,"Eclipse + PyDev, Sublime Text"
1/1/2013 23:55:53,Sublime Text,Windows,"Eclipse + PyDev, Gedit, NotePad++ (software livre para Windows)"
1/2/2013 0:34:27,vim,GNU/Linux,Emacs e derivados
1/2/2013 0:38:05,Sublime Text,GNU/Linux,NotePad++ (software livre para Windows)
1/2/2013 0:53:53,Emacs e derivados,GNU/Linux,vim
1/2/2013 1:04:06,vim,GNU/Linux,Sublime Text
1/2/2013 1:40:25,PyCharm,Mac OSX,vim
1/2/2013 2:40:54,Sublime Text,GNU/Linux,"Gedit, IDLE, Sublime Text"
1/2/2013 4:56:30,PyCharm,GNU/Linux,"Geany, Sublime Text"
1/2/2013 7:38:25,PyCharm,Mac OSX,"vim, Visual Studio"
1/2/2013 7:51:46,Sublime Text,Windows,"NotePad++ (software livre para Windows), Sublime Text, vim"
1/2/2013 8:13:18,Eclipse + PyDev,Windows,NotePad++ (software livre para Windows)
1/2/2013 8:48:43,vim,GNU/Linux,"Eclipse + PyDev, Netbeans, Sublime Text, Visual Studio"
1/2/2013 9:06:41,Eclipse + PyDev,GNU/Linux,"PyCharm, Sublime Text"
1/2/2013 9:21:30,Aptana,Mac OSX,"Aptana, Eclipse + PyDev, Gedit, PyCharm, TextMate"
1/2/2013 9:24:09,vim,GNU/Linux,
1/2/2013 9:30:58,Aptana,GNU/Linux,Kate e derivados
1/2/2013 9:56:41,vim,GNU/Linux,"Eclipse + PyDev, NotePad++ (software livre para Windows)"
1/2/2013 10:03:43,Aptana,GNU/Linux,Gedit
1/2/2013 10:12:12,Kate e derivados,GNU/Linux,Kate e derivados
1/2/2013 10:35:45,Eclipse + PyDev,GNU/Linux,"Geany, Gedit, Kate e derivados, Kdevelop, Komodo Edit (gratuito), vim"
1/2/2013 11:00:47,Eclipse + PyDev,Windows,
1/2/2013 11:06:32,PyCharm,GNU/Linux,vim
1/2/2013 11:21:12,TextMate,Mac OSX,"PyCharm, Sublime Text, vim"
1/2/2013 11:27:30,Sublime Text,Windows,"NotePad++ (software livre para Windows), PyCharm"
1/2/2013 11:31:23,Sublime Text,GNU/Linux,"Emacs e derivados, IDLE, Netbeans, vim"
1/2/2013 11:43:46,Kate e derivados,GNU/Linux,Netbeans
1/2/2013 12:10:32,Eclipse + PyDev,GNU/Linux,Gedit
1/2/2013 12:43:42,PyCharm,Mac OSX,Sublime Text
1/2/2013 12:46:03,Sublime Text,GNU/Linux,Gedit
1/2/2013 12:48:31,Sublime Text,GNU/Linux,Gedit
1/2/2013 12:58:29,vim,GNU/Linux,"Sublime Text, vim"
1/2/2013 13:00:29,PyCharm,Mac OSX,TextMate
1/2/2013 13:03:09,Sublime Text,GNU/Linux,Gedit
1/2/2013 13:03:48,vim,GNU/Linux,"Aptana, Netbeans, Sublime Text"
1/2/2013 13:19:07,Sublime Text,Mac OSX,"Emacs e derivados, vim"
1/2/2013 13:21:24,vim,Mac OSX,"PyCharm, Sublime Text, vim"
1/2/2013 13:30:05,vim,Mac OSX,
1/2/2013 13:36:24,PyCharm,GNU/Linux,PyCharm
